sn,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23
289,3,2,1,2,3,3,3,2,4,2,2,3,3,3,3,3,2,3,1,4,4,4,4
290,3,5,3,2,3,1,2,1,5,1,1,4,2,2,1,3,2,1,4,3,3,5,5
291,4,1,2,4,2,2,3,2,1,4,2,3,3,4,4,4,3,3,2,4,3,2,4
292,2,1,2,3,3,3,4,2,3,2,2,2,2,3,2,2,2,3,4,4,3,2,3
293,3,1,2,3,3,3,3,4,4,2,4,3,2,4,3,3,3,3,3,4,4,3,3
294,3,2,2,3,4,5,4,2,3,4,2,5,4,5,2,3,2,5,1,3,5,2,3
295,4,1,1,4,4,2,4,2,4,5,2,5,2,5,5,5,2,3,2,5,5,3,3
296,3,1,3,2,2,2,3,2,4,4,2,3,4,3,4,3,2,2,1,3,2,5,3
297,3,1,3,3,2,2,2,2,3,2,2,4,3,3,4,3,2,2,2,5,2,3,3
298,2,1,2,2,1,2,2,3,4,2,3,2,2,3,2,2,2,2,2,4,2,3,4
299,2,2,1,3,3,3,3,2,2,2,2,3,2,3,4,3,3,2,2,5,4,3,3
300,3,1,3,3,4,1,1,3,1,1,1,3,2,3,2,3,2,2,1,4,3,5,5
301,2,2,2,3,4,2,3,3,2,4,2,3,3,4,4,3,3,3,2,4,4,1,2
302,3,1,3,4,3,2,3,2,1,3,2,4,3,3,3,3,3,3,1,3,3,1,3
303,3,1,3,4,2,2,4,2,2,2,2,3,2,4,2,3,2,3,2,5,4,3,4
304,1,2,3,2,3,3,2,2,5,1,1,2,1,3,2,1,1,2,2,2,2,3,4
305,2,1,3,2,3,1,2,2,2,3,2,2,2,4,1,3,2,2,1,3,2,4,4
306,3,1,2,3,3,2,3,4,3,2,4,3,3,4,2,3,4,2,2,4,4,2,3
307,3,2,2,3,3,4,4,2,5,2,2,3,2,3,3,3,3,3,2,3,3,4,4
308,2,1,3,2,2,4,4,2,4,2,3,3,3,2,2,2,2,3,2,3,4,4,4
309,2,3,3,2,1,4,2,2,4,2,2,4,3,4,2,2,2,3,1,2,3,3,3
310,4,5,1,5,5,5,5,3,3,3,4,5,3,4,4,3,4,4,1,5,4,2,4
311,2,1,2,3,4,3,4,2,2,4,2,3,3,4,4,4,3,3,2,4,3,2,3
312,3,1,4,1,3,1,1,2,4,1,2,3,2,1,1,3,1,1,4,5,2,3,3
313,5,1,1,5,5,1,5,3,5,2,1,5,5,5,2,5,3,5,1,5,5,4,4
314,3,2,2,3,4,1,2,2,4,2,2,3,2,4,2,3,2,1,1,5,4,5,4
315,4,1,1,3,2,2,2,4,2,2,3,5,2,2,4,4,4,3,2,4,4,2,3
316,2,1,2,2,1,3,4,1,2,2,2,3,3,3,5,3,1,3,4,4,2,2,4
317,1,1,3,1,2,2,2,1,4,2,1,2,2,2,2,2,2,1,3,3,2,3,3
318,3,1,2,3,2,3,4,2,4,2,3,3,3,4,3,3,2,4,2,4,4,2,4
319,2,1,4,2,4,1,1,2,5,2,2,3,2,2,3,2,2,2,5,5,4,2,5
320,2,3,3,3,2,2,2,2,4,2,1,4,2,2,2,2,2,2,4,4,4,3,4
321,3,3,4,3,2,2,2,2,4,2,2,2,2,2,3,3,2,2,4,4,2,3,3
322,2,1,2,3,2,4,4,3,1,2,3,5,3,3,3,3,3,4,2,5,4,3,4
323,3,3,3,2,3,2,2,2,3,2,1,3,2,3,2,3,2,2,3,3,3,2,3
324,1,4,4,1,1,1,1,1,5,1,1,1,1,1,1,2,1,1,5,5,2,4,4
325,3,4,2,4,4,1,3,2,4,2,2,2,2,3,2,4,2,3,2,2,2,4,1
326,3,1,1,4,3,1,4,3,1,2,3,5,4,3,3,4,3,3,1,5,5,3,4
327,2,2,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,4,2,2,4,4
328,4,1,1,4,5,2,3,4,1,3,3,5,4,5,5,5,5,4,1,3,2,1,3
329,2,2,2,2,2,2,4,2,4,2,2,3,2,3,4,4,2,1,2,4,4,4,4
330,2,1,3,3,2,2,2,4,3,2,3,4,2,5,2,4,3,3,3,5,3,1,3
331,2,1,1,5,4,4,5,1,3,3,4,5,3,5,4,5,5,4,1,3,4,2,3
332,5,1,1,4,5,5,3,2,4,2,3,4,4,3,4,5,1,5,3,5,5,3,5
333,2,1,3,2,3,2,5,2,5,1,2,4,5,4,5,2,3,2,1,5,4,1,4
334,3,1,2,3,4,3,4,2,1,4,3,4,4,4,2,3,2,3,1,5,3,1,3
335,2,1,2,2,2,2,2,2,3,2,2,3,2,3,3,3,2,2,2,5,3,3,3
336,5,1,1,2,4,1,2,2,1,2,2,4,3,4,3,4,2,3,2,5,5,3,4
337,2,2,2,2,2,4,4,2,4,2,2,4,4,4,2,3,2,4,1,4,2,2,4
338,3,1,3,3,3,5,5,2,4,3,2,3,2,5,3,3,3,4,2,3,3,3,4
339,3,3,3,3,2,2,4,3,5,1,1,3,3,5,3,3,1,4,1,5,5,5,3
340,3,1,2,4,3,3,3,1,1,2,2,4,3,3,4,4,3,2,2,5,4,3,5
341,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,4
342,3,1,2,3,3,2,3,3,1,1,3,4,4,5,2,2,3,2,1,5,3,2,5
343,2,1,2,4,4,2,2,3,2,2,3,4,4,4,4,4,2,3,2,4,3,3,4
344,2,1,4,2,2,1,2,1,3,2,1,4,1,2,2,3,1,2,4,3,2,4,4
345,2,1,3,2,3,2,2,2,3,2,2,3,2,2,2,3,2,2,2,3,3,3,2
346,4,1,1,3,5,5,5,3,2,3,4,5,2,1,5,4,1,1,1,5,3,4,3
347,1,3,3,3,2,2,3,2,1,3,1,3,3,3,2,3,2,3,2,4,3,3,1
348,1,1,5,1,3,2,2,2,4,2,1,2,1,2,2,2,1,2,3,3,2,4,4
349,2,3,3,4,2,2,2,3,4,3,3,3,2,2,5,2,3,3,3,2,2,4,4
350,2,2,3,3,3,2,2,2,3,2,2,2,2,2,2,3,3,2,3,3,3,3,3
351,2,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,3,3,1,4,4
352,1,2,3,3,3,2,2,2,3,2,1,2,2,2,2,3,2,2,4,3,4,3,3
353,2,1,3,2,5,1,5,2,4,2,2,3,3,2,3,3,3,3,2,5,4,3,2
354,2,1,1,1,1,1,5,1,1,1,1,5,3,5,5,5,1,3,1,5,5,1,4
355,2,1,3,2,4,2,5,2,4,5,2,3,2,2,2,3,3,3,2,3,3,3,2
356,4,1,1,4,4,1,4,2,4,1,2,5,3,4,1,4,2,4,1,4,5,2,2
357,3,2,3,4,3,1,2,3,1,2,3,4,3,3,3,4,3,3,2,5,4,3,4
358,2,5,3,3,2,2,2,2,2,2,2,3,2,3,3,3,2,2,3,2,2,2,3
359,3,1,1,3,4,1,2,2,3,2,1,4,3,2,3,4,2,4,1,3,3,2,3
360,2,2,3,3,2,1,2,2,4,2,2,3,2,2,2,3,3,1,2,4,3,3,3
361,2,1,3,3,3,2,2,2,3,2,2,3,2,2,2,3,3,2,3,3,3,3,3
362,2,1,3,3,2,1,2,1,4,1,1,2,2,2,1,2,1,1,5,2,2,3,4
363,2,3,4,4,2,4,2,2,3,3,2,3,3,4,4,3,3,4,4,2,3,2,2
364,2,1,1,2,3,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,5,4,4
365,2,1,3,3,3,2,3,3,1,2,3,3,2,2,3,2,3,2,3,4,4,3,4
366,2,1,1,3,2,5,5,1,1,3,3,5,3,3,5,3,3,5,2,3,3,2,4
367,2,4,3,3,2,1,2,2,4,2,1,2,1,1,3,3,1,2,1,4,2,2,3
368,3,1,3,3,1,3,4,2,5,1,1,5,3,3,1,3,3,3,4,4,3,2,1
369,3,1,1,4,4,4,5,2,1,3,4,4,4,2,4,3,4,4,1,4,4,4,1
370,1,1,3,2,2,2,3,2,3,2,2,3,2,3,3,2,2,3,3,4,4,2,4
371,2,1,2,3,3,2,5,2,2,2,2,5,2,4,4,4,4,4,1,2,5,1,1
372,2,1,1,4,3,5,4,3,1,3,4,4,4,3,4,3,2,4,2,4,4,3,2
373,2,3,3,2,3,2,3,2,4,2,2,3,3,3,2,3,3,3,2,3,3,2,3
374,1,2,5,1,2,2,2,2,5,2,2,3,2,3,3,2,2,2,4,3,2,3,5
375,3,3,2,3,3,2,3,3,3,3,3,4,3,2,2,3,2,2,4,3,3,1,3
376,2,2,3,2,2,1,2,2,3,2,2,2,2,2,2,3,2,1,3,3,2,3,5
377,3,2,2,4,3,1,2,5,5,3,5,2,2,2,2,2,4,2,1,5,2,4,5
378,2,3,4,2,2,2,3,2,3,2,2,3,2,2,3,3,2,2,3,3,2,3,4
379,2,1,1,2,2,2,1,4,3,3,4,3,3,4,2,3,3,3,1,5,4,2,1
380,3,2,1,3,3,5,5,3,4,4,2,4,4,5,3,4,3,5,2,4,4,3,2
381,2,4,3,3,3,2,2,2,4,2,2,2,2,2,2,2,3,2,2,3,2,3,4
382,3,3,2,2,2,1,2,2,3,1,2,2,2,1,2,3,2,1,4,3,2,2,4
383,3,1,3,2,2,4,4,4,4,2,3,4,4,4,4,3,4,4,3,2,3,4,3
384,2,1,2,2,3,2,3,1,1,2,1,3,3,4,1,2,2,2,1,1,2,1,2
385,2,2,3,3,3,2,4,2,1,2,2,4,3,4,3,2,2,4,2,5,4,3,5
386,3,2,4,1,1,1,2,1,3,2,1,4,2,2,2,2,2,3,3,4,3,3,4
387,2,1,1,3,3,5,5,2,4,4,2,3,4,5,4,3,2,5,2,4,4,2,4
388,1,2,2,2,3,2,3,1,4,2,1,3,2,3,2,3,2,2,2,2,3,3,4
389,2,3,3,2,4,1,3,2,3,2,2,2,1,3,2,2,2,2,3,4,3,4,3
390,2,1,3,2,3,3,3,2,4,2,1,2,2,3,3,2,2,3,4,2,2,1,3
391,3,2,1,3,4,2,3,3,2,3,3,3,2,3,4,4,2,2,1,4,4,2,3
392,2,1,3,2,3,2,4,2,4,2,2,3,3,3,3,2,2,2,2,2,2,3,3
393,2,2,3,3,3,1,2,2,4,4,2,3,2,2,2,2,2,2,2,4,2,4,4
394,3,2,4,3,2,2,4,1,4,1,1,5,4,2,2,2,1,4,2,3,4,2,2
395,2,2,3,4,2,2,4,4,4,2,3,3,4,3,4,3,4,4,2,4,4,4,4
396,2,4,1,3,2,2,2,2,1,2,2,2,2,3,4,3,2,2,1,5,4,3,4
397,3,1,4,2,2,1,2,2,1,2,1,3,2,2,2,3,2,2,2,2,2,3,4
398,2,2,1,2,3,2,4,2,2,3,2,4,2,4,3,4,2,3,2,3,2,4,4
399,2,1,1,2,2,3,4,3,4,3,3,5,4,3,4,4,2,4,1,1,2,2,4
400,3,2,2,3,3,2,3,4,2,3,3,3,3,4,3,3,2,3,3,3,3,3,4
401,1,2,3,2,2,2,2,1,5,2,1,2,2,2,2,2,2,2,2,4,2,4,4
402,2,1,2,3,2,1,2,2,1,2,2,4,2,3,4,2,2,2,2,4,4,2,4
403,2,3,3,2,2,1,1,1,5,1,1,3,1,1,3,3,2,1,5,3,3,5,5
404,4,4,2,4,2,2,4,4,5,1,3,4,3,4,4,4,4,3,1,2,2,5,3
405,3,1,2,3,4,2,3,3,1,3,4,3,3,3,4,4,4,3,3,5,3,2,3
406,4,1,2,4,4,4,3,2,2,4,2,4,4,3,4,4,3,4,2,4,3,3,4
407,1,1,3,4,2,5,3,2,4,4,2,3,5,3,4,2,1,3,3,5,2,2,4
408,2,1,3,3,4,3,3,3,4,4,2,5,3,3,3,2,3,2,1,4,5,4,5
409,1,1,4,2,3,1,2,1,1,1,1,3,2,2,2,3,2,2,4,4,2,5,4
410,3,2,3,3,3,2,4,1,5,2,2,4,3,3,2,3,2,4,2,3,3,4,4
411,2,1,3,3,2,1,3,2,4,2,2,3,2,3,2,4,2,3,1,4,3,3,4
412,1,1,4,1,2,2,2,1,5,2,1,2,2,2,2,2,1,2,4,1,2,3,3
413,2,1,2,4,4,2,4,5,3,2,4,5,4,3,2,2,4,2,1,5,4,2,4
414,3,1,1,4,5,3,4,4,1,2,4,5,4,2,4,5,2,3,1,5,5,1,5
415,2,1,3,3,2,2,2,2,3,2,2,3,2,3,2,2,2,2,3,4,3,3,4
416,5,1,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,1,1
417,3,2,4,3,3,2,3,3,5,3,3,3,3,3,2,3,3,3,1,2,3,2,3
418,3,3,4,2,3,2,2,1,4,2,2,3,2,2,3,2,2,2,1,4,2,4,4
419,2,3,3,3,2,1,1,2,5,2,1,4,1,3,1,3,3,1,1,3,4,3,3
420,4,1,1,4,4,1,5,2,1,5,2,4,2,2,2,4,2,3,1,5,5,1,4
421,3,3,5,4,2,1,2,1,1,1,2,3,2,1,3,3,3,3,3,4,4,5,4
422,2,3,4,3,3,1,2,2,4,2,2,3,2,2,3,2,2,2,4,3,3,5,3
423,2,4,4,2,2,2,2,1,4,2,1,2,2,2,2,2,2,2,3,2,2,3,4
424,2,2,4,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,4,4
425,2,1,4,1,2,2,3,2,3,2,2,2,1,2,3,3,2,2,1,3,3,4,3
426,1,2,1,3,5,2,4,4,3,4,3,5,3,2,5,5,4,4,1,5,5,2,3
427,2,1,2,2,4,2,3,2,1,3,3,4,3,2,4,3,2,3,1,5,4,3,2
428,2,1,1,3,2,2,2,2,2,2,3,4,3,5,4,3,4,4,1,5,4,1,4
429,2,2,1,3,3,2,3,2,3,2,2,3,2,2,2,3,2,2,2,4,2,3,4
430,4,1,4,4,3,2,2,2,1,3,2,4,2,3,4,4,2,2,2,4,3,2,3
431,2,1,4,4,2,3,2,2,4,2,3,4,2,5,2,3,3,2,2,5,5,5,3
432,4,1,2,5,4,4,5,2,2,2,2,4,3,2,2,2,2,4,2,1,4,3,4
433,3,1,2,4,3,4,5,3,4,4,4,4,4,4,4,4,4,5,2,5,4,2,4
434,3,1,2,3,4,2,2,1,5,2,1,3,3,3,3,3,2,1,1,1,2,1,1
435,2,1,3,3,3,4,3,2,3,2,2,3,3,4,3,3,3,3,3,4,3,3,4
436,2,2,2,2,3,2,4,2,2,3,1,3,2,4,3,3,2,2,2,5,4,2,3
437,1,1,3,3,3,2,3,2,1,2,2,3,3,3,2,1,2,3,1,5,4,2,4
438,3,2,4,3,2,2,2,2,4,3,2,2,2,4,3,2,2,2,3,3,2,3,3
439,2,1,4,2,2,1,2,2,4,2,2,2,2,2,2,2,2,2,4,3,2,2,4
440,3,2,3,4,3,2,4,1,1,2,2,4,1,3,3,2,2,3,2,4,4,4,4
441,2,3,3,2,3,3,3,3,4,2,3,3,2,3,2,3,3,3,1,5,3,3,3
442,3,2,3,5,3,1,2,4,5,2,3,3,2,5,4,3,2,3,2,5,4,4,5
443,2,1,2,5,4,3,4,1,1,4,3,4,3,3,5,5,3,3,1,5,4,3,1
444,2,1,3,2,4,2,2,3,4,2,3,3,2,3,3,3,3,2,1,3,3,3,4
445,2,1,3,1,2,1,2,1,1,1,1,2,2,2,2,2,2,1,3,2,2,2,4
446,2,1,3,2,3,4,4,2,4,3,3,3,2,3,3,2,1,3,1,3,4,3,3
447,3,1,3,3,4,2,5,5,3,1,3,3,3,2,4,3,4,2,2,4,4,3,5
448,2,1,1,5,2,5,5,2,1,3,2,4,3,3,3,3,2,5,2,3,2,2,2
449,2,1,4,2,4,3,2,2,3,4,2,4,2,3,2,2,2,3,2,3,3,3,4
450,1,4,4,2,2,1,1,1,5,1,1,2,2,2,2,2,2,1,4,3,1,5,5
451,3,1,3,2,5,4,4,3,2,4,2,3,2,4,5,4,4,4,2,2,3,1,1
452,2,2,4,2,2,2,2,2,4,2,2,3,2,2,2,3,2,2,3,2,2,4,4
453,1,3,3,2,2,1,1,2,5,1,1,2,1,1,1,2,2,1,4,1,1,3,5
454,2,1,2,3,3,1,2,3,2,2,2,2,3,2,3,2,2,3,2,2,2,3,1
455,3,3,3,3,2,1,2,2,3,2,2,2,1,1,2,2,3,1,2,4,2,4,3
456,3,3,4,3,2,1,2,2,4,2,2,3,2,2,2,1,2,2,4,4,3,4,4
457,3,1,3,3,2,2,3,2,4,2,2,2,2,2,2,2,2,2,4,4,3,4,4
458,2,1,3,2,3,3,3,2,1,1,3,4,2,2,2,3,2,4,1,5,5,3,4
459,4,1,1,5,3,4,4,2,1,4,2,5,4,3,5,5,3,3,1,4,5,2,5
460,2,1,2,5,2,5,5,5,5,2,5,3,4,4,2,1,5,5,1,5,4,4,5
461,1,2,4,2,2,3,3,2,3,3,3,3,3,2,3,3,3,2,4,3,3,3,2
462,1,3,4,2,2,1,2,3,3,3,4,3,2,2,2,4,4,2,2,3,4,3,3
463,2,1,3,2,2,2,2,2,3,2,2,3,3,2,3,3,3,3,4,4,3,3,3
464,2,1,2,4,2,2,2,2,1,4,2,4,1,4,3,3,2,2,5,4,2,2,2
465,3,2,3,3,4,1,2,2,5,1,2,2,1,3,2,2,2,1,4,2,3,4,5
466,2,3,3,2,2,2,2,2,3,3,2,3,2,3,2,3,2,3,3,3,2,3,2
467,1,2,4,1,3,2,3,2,4,2,2,2,2,3,2,3,2,1,1,2,2,2,4
468,2,1,4,4,2,2,1,1,2,2,1,4,1,3,4,2,1,2,2,2,2,3,4
469,2,4,5,1,1,1,1,2,4,2,2,2,2,2,2,2,2,2,3,2,2,4,4
470,2,1,1,4,2,2,4,2,1,2,3,4,3,4,4,3,3,3,2,4,4,2,2
471,2,5,3,4,3,2,4,2,4,2,2,3,3,2,3,3,2,3,3,3,3,2,3
472,2,1,3,3,2,3,4,2,2,2,2,3,2,4,4,3,2,2,2,4,2,2,3
473,1,1,3,1,2,1,2,2,3,1,1,3,1,3,1,2,1,2,4,3,2,3,1
474,5,1,1,3,3,5,2,2,2,3,2,3,2,3,4,4,2,3,2,2,2,2,4
475,3,4,4,3,3,1,2,1,4,2,1,3,1,2,3,3,2,2,3,4,3,4,4
476,3,2,3,4,2,3,2,3,4,2,3,2,2,3,2,3,3,2,2,4,3,4,5
477,2,1,2,2,1,1,2,1,1,1,1,2,1,3,4,1,1,1,1,4,1,1,4
478,2,2,3,2,2,1,1,2,3,1,1,2,2,1,2,2,2,1,3,3,3,4,3
479,2,2,4,1,2,2,2,2,2,4,2,2,1,2,2,2,2,2,4,3,2,3,3
480,1,1,2,1,2,2,2,2,3,2,3,3,3,3,2,2,2,2,1,4,3,2,3
481,4,1,1,4,2,5,5,2,1,5,2,5,5,5,5,4,2,5,1,3,3,1,4
482,3,2,2,3,3,2,2,2,2,2,3,3,3,3,4,3,3,2,3,4,3,4,4
483,1,1,3,2,2,1,3,1,4,1,1,2,1,2,1,1,1,1,2,5,4,5,4
484,2,1,1,4,3,5,4,1,1,3,2,4,4,3,5,3,2,4,2,4,4,1,2
485,2,1,4,4,5,1,2,3,1,1,2,4,1,4,4,3,2,2,1,5,5,1,5
486,3,1,2,4,4,3,5,3,3,4,3,4,3,4,4,5,2,5,1,5,5,3,3
487,3,1,2,4,2,1,2,2,4,2,2,3,3,2,3,3,4,3,1,5,4,4,1
488,1,2,4,2,2,2,3,2,4,3,2,3,2,4,3,2,2,1,1,3,3,3,4
489,3,2,2,3,3,3,4,2,1,4,2,3,4,4,3,4,2,4,3,5,4,3,4
490,4,1,2,2,2,2,3,2,3,2,3,4,5,3,4,4,3,3,1,5,3,2,5
491,2,4,4,4,2,2,3,2,4,3,2,4,3,2,2,2,2,2,2,4,2,3,3
492,2,1,4,2,2,2,2,2,4,2,2,2,2,2,4,2,2,2,2,4,2,4,4
493,3,1,3,2,2,2,2,2,2,2,2,3,3,3,2,3,2,3,2,5,4,3,3
494,2,3,5,3,3,2,2,2,5,2,2,2,1,3,2,3,2,3,2,3,2,4,3
495,2,1,5,2,2,3,2,2,4,2,2,3,2,2,2,2,2,2,3,2,2,4,4
496,2,3,3,4,3,2,2,2,4,2,2,3,2,3,2,3,3,4,2,3,3,3,3
497,2,1,4,2,2,2,2,2,2,4,2,3,2,2,2,2,3,2,2,4,3,2,3
498,3,2,3,4,2,1,1,1,4,2,1,4,2,3,1,3,1,4,4,4,2,4,5
499,2,2,3,3,2,2,4,2,4,4,2,4,2,2,3,3,2,2,2,4,3,4,4
500,3,1,3,2,3,2,4,2,2,4,3,4,3,2,4,3,3,3,2,4,3,2,4
501,2,1,4,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,4,3,2,3,2
502,1,1,4,4,2,2,2,2,2,2,2,3,2,2,2,3,2,2,3,4,2,3,4
503,1,4,4,2,3,1,2,1,4,3,2,3,2,2,1,1,1,1,4,2,2,4,4
504,2,1,3,2,2,2,3,2,4,2,2,3,2,2,2,2,2,2,2,3,3,2,4
505,4,2,3,4,2,1,2,3,4,2,3,3,3,2,2,3,3,3,3,4,4,3,3
506,1,1,1,1,2,3,3,2,2,3,3,2,2,3,3,2,3,4,2,4,4,4,1
507,2,2,1,3,4,4,4,4,4,2,3,3,3,3,4,3,4,2,2,4,3,2,4
508,1,1,1,3,3,1,3,1,3,3,2,4,2,2,1,2,2,1,3,5,5,3,4
509,4,1,1,4,3,1,5,2,2,2,5,5,4,5,5,5,4,5,1,5,4,3,4
510,2,1,2,3,2,4,3,4,1,2,4,3,3,3,3,4,4,2,4,5,3,3,5
511,3,1,1,2,3,2,3,4,3,3,4,3,2,4,4,4,4,4,2,5,5,3,4
512,3,1,1,3,2,5,5,2,5,5,3,5,5,5,3,3,5,5,3,5,5,1,2
513,2,1,3,2,2,2,3,2,3,3,2,3,3,3,2,2,1,2,2,3,2,3,4
514,2,1,3,4,3,2,2,2,3,2,2,3,2,2,2,3,3,3,1,5,4,4,3
515,3,1,3,2,5,1,2,2,3,2,2,4,1,3,3,4,3,2,1,5,3,3,4
516,3,1,2,4,4,5,4,3,3,3,3,5,5,3,3,3,4,4,1,4,4,3,3
517,2,1,2,1,2,3,4,2,5,2,2,3,3,3,3,2,3,3,2,3,3,3,2
518,3,3,2,3,3,2,2,2,2,2,2,3,2,2,2,3,2,2,3,4,3,2,2
519,3,2,2,2,2,2,4,4,4,3,2,3,3,2,2,3,3,2,4,5,3,3,4
520,4,1,1,4,4,4,4,2,1,2,2,4,3,3,2,3,3,3,1,4,4,3,2
521,1,1,3,2,1,1,3,2,3,1,2,4,2,3,2,2,2,1,1,5,4,5,5
522,2,1,1,3,3,4,4,5,5,3,5,5,1,5,4,3,4,2,1,5,3,1,4
523,3,2,3,3,3,4,4,3,3,2,2,3,2,3,3,3,3,3,2,4,4,3,3
524,4,1,4,5,4,2,2,3,1,5,3,5,2,2,2,5,3,5,1,3,4,2,4
525,3,3,3,2,2,1,3,2,2,1,1,2,2,2,3,3,2,1,2,3,2,2,3
526,4,1,1,5,4,3,4,5,1,3,5,4,2,3,5,5,4,2,1,5,4,3,4
527,3,2,4,4,3,2,4,3,4,2,2,3,2,3,2,2,2,2,3,2,3,2,4
528,3,1,4,2,3,1,2,3,3,2,3,3,4,2,3,3,2,2,2,2,3,2,3
529,3,2,3,3,4,4,4,3,4,2,3,3,3,4,3,3,3,3,2,3,3,2,3
530,2,1,2,2,2,2,4,1,2,4,2,4,4,4,4,2,2,2,1,4,4,1,2
531,1,1,1,2,2,5,2,2,1,2,3,4,4,2,2,4,2,4,4,4,4,2,2
532,2,1,2,4,5,2,3,2,1,3,4,4,4,5,4,3,3,3,2,5,4,1,3
533,3,3,4,3,4,4,3,2,3,2,2,2,2,3,3,3,3,3,4,2,3,4,4
534,2,2,1,2,3,2,2,2,3,3,4,4,2,3,3,3,2,2,2,3,3,3,3
535,2,1,3,1,2,2,4,2,4,2,2,4,3,3,2,2,2,3,4,4,3,4,3
536,2,1,4,3,2,1,2,2,2,1,2,4,2,2,2,2,3,2,4,3,2,3,3
537,2,3,5,3,1,1,2,2,5,2,1,3,2,1,2,3,1,1,5,3,2,5,4
538,2,1,3,2,2,3,4,3,5,2,2,4,2,4,3,4,2,4,1,4,4,2,4
539,2,1,1,4,2,1,5,5,5,2,3,3,2,4,5,5,5,1,1,3,5,5,5
540,2,2,4,2,2,2,2,3,4,3,2,2,2,3,2,2,3,3,4,4,3,3,4
541,2,3,2,5,4,2,5,3,5,2,3,4,3,4,4,3,3,2,4,4,4,3,4
542,2,3,3,2,2,1,2,2,4,2,2,2,2,3,2,2,2,1,3,4,3,4,4
543,1,1,3,3,1,1,2,1,4,1,2,3,2,2,3,3,2,2,2,3,3,3,4
544,1,1,3,2,4,4,2,1,1,2,2,4,2,1,4,3,1,2,3,2,2,2,3
545,2,3,4,1,3,2,4,1,5,1,3,2,3,3,3,3,2,3,5,3,3,5,4
546,2,3,3,2,3,3,4,2,3,2,2,3,2,3,3,3,2,2,3,4,4,3,4
547,2,1,2,4,4,3,5,3,5,1,3,5,4,4,4,4,4,3,1,3,4,4,5
548,2,1,1,5,4,2,4,2,1,2,4,4,2,3,3,3,3,2,1,5,3,4,4
549,2,1,3,3,2,2,3,4,3,2,4,3,2,3,4,4,3,2,1,4,3,3,5
550,2,1,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,4,2,2,4,4
551,2,3,3,3,2,1,2,2,4,2,1,3,2,2,1,3,2,3,1,5,3,5,5
552,1,1,4,2,2,1,1,1,4,2,2,1,2,2,3,2,1,1,5,4,2,4,3
553,1,1,3,3,1,2,3,3,4,2,2,3,3,3,4,3,3,2,2,4,3,3,3
554,2,1,2,4,3,3,4,2,2,2,2,4,4,3,2,5,3,5,2,4,3,2,4
555,3,1,2,2,3,2,2,2,3,3,2,3,2,4,2,3,2,3,1,4,3,2,2
556,4,1,3,3,3,2,2,2,2,2,3,4,4,2,2,3,2,3,2,4,4,2,2
557,4,1,1,5,2,2,4,2,1,2,3,3,3,2,3,4,4,3,1,4,4,2,4
558,2,2,4,2,2,1,2,1,4,1,1,3,2,2,2,2,2,2,5,3,2,2,4
559,2,2,3,2,3,2,1,2,4,2,2,2,1,2,2,4,2,3,4,5,2,2,4
560,2,1,2,1,2,2,2,2,1,2,2,2,2,2,3,3,2,2,1,2,4,4,3
561,4,2,1,2,3,2,3,3,3,3,3,3,3,4,3,4,3,4,1,5,4,3,3
562,3,1,3,4,4,4,3,2,2,2,2,3,4,3,4,3,3,3,2,2,2,2,2
563,2,1,3,3,3,1,2,2,3,4,2,3,2,4,4,3,1,2,3,4,3,3,5
564,2,5,3,3,3,4,5,3,4,3,2,3,4,5,4,2,2,1,1,5,4,2,4
565,2,1,2,5,2,5,5,2,2,5,2,5,5,5,5,5,2,5,2,5,5,2,4
566,3,1,3,3,2,3,5,2,1,5,3,5,4,5,5,3,4,5,1,4,5,3,3
567,2,3,3,2,2,2,3,3,2,2,3,2,2,2,4,2,2,2,1,4,4,4,4
568,2,3,1,3,2,4,4,3,4,2,4,4,3,4,4,3,4,3,2,4,3,2,4
569,2,2,2,2,4,4,5,2,2,3,2,4,4,4,4,3,4,3,2,5,4,2,2
570,3,2,2,4,3,2,3,3,4,2,3,3,3,2,3,2,3,2,4,4,4,3,3
571,2,1,2,4,2,5,5,1,1,3,1,3,4,4,3,2,2,4,1,2,2,1,4
572,4,2,2,4,3,2,4,3,4,3,3,4,3,5,3,2,4,5,2,4,5,3,4
573,2,3,4,3,3,3,4,2,3,3,2,3,2,4,3,4,3,3,3,3,2,3,3
574,3,3,3,4,3,3,3,3,2,2,2,3,2,3,2,3,2,3,4,4,4,3,4
575,2,3,3,2,2,4,4,3,4,3,2,3,3,4,2,2,3,3,1,3,3,4,4
576,2,2,1,2,2,2,3,2,1,2,3,3,2,3,3,3,3,2,1,5,3,2,2
577,2,1,2,3,2,2,3,3,1,2,2,3,2,2,4,2,2,2,2,4,3,4,4
578,5,1,2,4,4,3,3,3,3,2,3,4,5,3,3,5,3,5,2,4,4,2,5
